TITULACION,satisfaccion_promedio,tasa_abandono,autoeficacia_3_anos,porcentaje_no_desempleados,score_desempeño
"MÁSTER UNIVERSITARIO EN INGENIERÍA DE ANÁLISIS DE DATOS, MEJORA DE PROCESOS Y TOMA DE DECISIONES",8.47,12.96,8.04,95.83,4.6
MÁSTER UNIVERSITARIO EN CIBERSEGURIDAD Y CIBERINTELIGENCIA,8.58,11.5,7.8,92.74,4.58
"MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL, RECONOCIMIENTO DE FORMAS E IMAGEN DIGITAL",8.76,7.0,7.3,97.5,4.56
MÁSTER UNIVERSITARIO EN INGENIERÍA Y TECNOLOGÍA DE SISTEMAS SOFTWARE,8.43,20.27,7.7,100.0,4.51
"MÁSTER UNIVERSITARIO EN GESTIÓN DE EMPRESAS, PRODUCTOS Y SERVICIOS",9.5,18.27,6.08,96.43,4.5
MÁSTER UNIVERSITARIO EN LENGUAS Y TECNOLOGÍA,8.79,19.58,7.08,98.42,4.49
MÁSTER UNIVERSITARIO EN SEGURIDAD NUCLEAR Y PROTECCIÓN RADIOLÓGICA,8.89,20.18,6.87,95.27,4.47
MÁSTER UNIVERSITARIO EN INGENIERÍA DEL MANTENIMIENTO,9.39,15.33,5.93,100.0,4.46
MÁSTER UNIVERSITARIO EN COMPUTACIÓN EN LA NUBE Y DE ALTAS PRESTACIONES / CLOUD AND HIGH-PERFORMANCE COMPUTING,8.31,17.81,7.61,96.16,4.45
MÁSTER UNIVERSITARIO EN INGENIERÍA DE SISTEMAS ELECTRÓNICOS,8.35,11.55,7.36,95.83,4.43
MÁSTER UNIVERSITARIO EN SISTEMAS PROPULSIVOS PARA UNA MOVILIDAD SOSTENIBLE,9.22,3.75,5.86,97.22,4.42
MÁSTER UNIVERSITARIO EN INGENIERÍA DE COMPUTADORES Y REDES,8.64,19.26,6.94,91.67,4.41
MÁSTER UNIVERSITARIO EN INGENIERÍA DE ORGANIZACIÓN Y LOGÍSTICA,8.93,14.52,6.34,91.88,4.39
MÁSTER UNIVERSITARIO EN SEGURIDAD INDUSTRIAL,8.4,12.74,7.04,93.25,4.38
GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL,7.93,5.56,7.6,100.0,4.38
GRADO EN CIENCIA DE DATOS,7.8,5.48,7.8,92.74,4.37
MÁSTER UNIVERSITARIO EN CONSTRUCCIONES E INSTALACIONES INDUSTRIALES,8.38,26.04,7.18,100.0,4.37
MÁSTER UNIVERSITARIO EN INGENIERÍA MECÁNICA,8.53,17.09,6.9,83.33,4.35
MÁSTER UNIVERSITARIO EN HUMANIDADES DIGITALES,8.05,9.05,7.38,84.09,4.33
GRADO EN INGENIERÍA INFORMÁTICA,7.55,13.24,8.04,94.23,4.32
MÁSTER UNIVERSITARIO EN DIRECCIÓN Y GESTIÓN DE PROYECTOS,8.07,17.62,7.22,81.25,4.27
MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN SANIDAD VEGETAL EN AGRICULTURA SOSTENIBLE/ EUROPEAN MASTER DEGREE IN PLANT HEALTH IN SUSTAINABLE CROPPING SYSTEMS,9.43,22.54,5.02,95.09,4.26
MÁSTER UNIVERSITARIO EN DISEÑO Y FABRICACIÓN INTEGRADA ASISTIDOS POR COMPUTADOR,8.18,8.66,6.65,95.83,4.25
GRADO EN INGENIERÍA FÍSICA,7.98,8.41,6.93,97.68,4.25
MÁSTER UNIVERSITARIO EN INGENIERÍA INFORMÁTICA,7.66,11.45,7.51,88.69,4.24
MÁSTER UNIVERSITARIO EN EDIFICACIÓN,8.85,24.44,5.92,84.56,4.23
MÁSTER UNIVERSITARIO EN DIRECCIÓN DE EMPRESAS (MBA),8.6,24.36,6.05,100.0,4.22
MÁSTER UNIVERSITARIO EN GANADERÍA DE PRECISIÓN,8.85,15.3,5.58,93.75,4.21
"MÁSTER UNIVERSITARIO EN TECNOLOGÍAS, SISTEMAS Y REDES DE COMUNICACIONES",8.88,18.27,5.44,100.0,4.2
MÁSTER UNIVERSITARIO EN INGENIERÍA AGRONÓMICA,7.78,2.31,6.78,100.0,4.18
"MÁSTER UNIVERSITARIO EN INGENIERÍA AVANZADA DE PRODUCCIÓN, LOGÍSTICA Y CADENA DE SUMINISTRO",8.44,22.11,5.98,97.22,4.16
MÁSTER UNIVERSITARIO EN INGENIERÍA GEOMÁTICA Y GEOINFORMACIÓN,8.78,24.61,5.53,96.43,4.16
GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA,7.5,5.76,7.14,98.0,4.16
GRADO EN GESTIÓN DEL TRANSPORTE Y LA LOGÍSTICA,8.11,14.4,6.31,98.77,4.15
MÁSTER UNIVERSITARIO EN INGENIERÍA TEXTIL,8.85,7.52,5.12,92.7,4.14
MÁSTER UNIVERSITARIO EN ECONOMÍA AGROALIMENTARIA Y DEL MEDIO AMBIENTE,8.51,27.96,6.06,80.0,4.14
GRADO EN INGENIERÍA CIVIL,7.92,17.24,6.54,97.21,4.13
GRADO EN INGENIERÍA ELÉCTRICA,7.58,20.99,7.11,95.11,4.12
"GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN",7.8,32.24,6.83,98.08,4.11
MÁSTER UNIVERSITARIO EN TECNOLOGÍA ENERGÉTICA PARA DESARROLLO SOSTENIBLE,7.7,11.64,6.72,97.22,4.11
MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA ANIMAL Y BIOTECNOLOGÍA DE LA REPRODUCCIÓN,8.6,14.71,5.44,89.98,4.1
GRADO EN INGENIERÍA DE TECNOLOGÍAS Y SERVICIOS DE TELECOMUNICACIÓN,7.37,9.72,7.13,97.11,4.1
MÁSTER UNIVERSITARIO EN DIRECCIÓN FINANCIERA Y FISCAL,7.86,19.48,6.48,96.88,4.09
MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN MEJORA GENÉTICA VEGETAL / ERASMUS MUNDUS MASTER IN PLANT BREEDING - EMPLANT +,8.13,0.0,5.85,91.61,4.09
MÁSTER UNIVERSITARIO EN INGENIERÍA DEL HORMIGÓN,9.2,21.89,4.54,87.5,4.08
MÁSTER UNIVERSITARIO EN INGENIERÍA MECATRÓNICA,7.44,9.44,6.92,97.22,4.08
GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES,7.5,6.84,6.72,96.91,4.07
GRADO EN INGENIERÍA DE LA ENERGÍA,7.25,10.05,7.07,96.6,4.05
"MÁSTER UNIVERSITARIO EN ESTUDIOS DE LA CIENCIA, LA TECNOLOGÍA Y LA INNOVACIÓN",8.71,47.21,5.5,90.89,4.05
MÁSTER UNIVERSITARIO EN INGENIERÍA HIDRÁULICA Y MEDIO AMBIENTE,8.72,12.19,4.85,94.18,4.04
MÁSTER UNIVERSITARIO EN QUÍMICA SOSTENIBLE,8.28,13.22,5.5,90.89,4.03
"MÁSTER UNIVERSITARIO EN INGENIERÍA, PROCESADO Y CARACTERIZACIÓN DE MATERIALES",8.46,9.4,5.09,100.0,4.03
GRADO EN TECNOLOGÍA DIGITAL Y MULTIMEDIA,7.34,7.5,6.76,97.99,4.03
MÁSTER UNIVERSITARIO EN CIENCIA E INGENIERÍA DE LOS ALIMENTOS,7.76,8.02,6.18,92.18,4.02
GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,7.69,22.32,6.43,91.41,4.01
MÁSTER UNIVERSITARIO EN INVESTIGACIÓN MATEMÁTICA,7.71,24.42,6.41,87.5,4.0
GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA,8.0,30.7,6.01,93.7,4.0
MÁSTER UNIVERSITARIO EN INTELIGENCIA TURÍSTICA,8.82,19.1,4.69,83.21,3.99
GRADO EN INGENIERÍA AEROESPACIAL,7.5,6.18,6.28,97.37,3.98
GRADO EN INGENIERÍA MECÁNICA,7.56,9.65,6.25,95.7,3.98
GRADO EN INFORMÁTICA INDUSTRIAL Y ROBÓTICA,7.1,11.96,7.0,92.24,3.98
MÁSTER UNIVERSITARIO EN INGENIERÍA INDUSTRIAL,7.02,6.03,6.94,98.42,3.97
MÁSTER UNIVERSITARIO EN COOPERACIÓN AL DESARROLLO,8.99,11.12,3.97,89.73,3.94
MÁSTER UNIVERSITARIO EN GESTIÓN DE LA SEGURIDAD Y CALIDAD ALIMENTARIA,7.54,6.01,6.0,94.74,3.93
GRADO EN INGENIERÍA BIOMÉDICA,7.33,9.0,6.33,97.52,3.93
GRADO EN FUNDAMENTOS DE LA ARQUITECTURA,7.74,11.3,5.71,94.58,3.92
MÁSTER UNIVERSITARIO EN INGENIERÍA DE TELECOMUNICACIÓN,6.69,5.04,7.13,99.04,3.92
MÁSTER UNIVERSITARIO EN PLANIFICACIÓN Y GESTIÓN EN INGENIERÍA CIVIL,8.26,22.86,5.16,87.5,3.92
MÁSTER UNIVERSITARIO EN INGENIERÍA BIOAMBIENTAL Y DEL PAISAJE,7.8,12.52,5.58,93.75,3.91
MÁSTER UNIVERSITARIO EN INGENIERÍA DEL DISEÑO,7.82,7.77,5.51,90.08,3.9
GRADO EN INGENIERÍA DE OBRAS PÚBLICAS,7.48,43.2,6.47,91.3,3.89
GRADO EN ARQUITECTURA TÉCNICA,7.31,28.38,6.43,91.82,3.88
GRADO EN INGENIERÍA QUÍMICA,7.77,20.14,5.58,91.21,3.87
MÁSTER UNIVERSITARIO EN SOCIAL MEDIA Y COMUNICACIÓN CORPORATIVA,7.44,9.48,5.91,93.94,3.87
"MÁSTER UNIVERSITARIO EN TRANSPORTE, TERRITORIO Y URBANISMO",8.02,15.54,4.93,100.0,3.85
GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA,8.0,18.84,5.11,87.34,3.84
MÁSTER UNIVERSITARIO EN COMUNICACIÓN TRANSMEDIA,8.14,13.37,4.79,85.11,3.83
GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL,7.54,24.28,5.86,86.81,3.83
MÁSTER UNIVERSITARIO EN SANIDAD Y PRODUCCIÓN VEGETAL,8.31,15.72,4.36,100.0,3.82
MÁSTER UNIVERSITARIO EN INGENIERÍA QUÍMICA,7.49,5.84,5.49,97.22,3.82
MÁSTER UNIVERSITARIO EN SISTEMAS INTELIGENTES DE TRANSPORTE,7.54,24.26,5.62,94.14,3.8
GRADO EN MATEMÁTICAS,6.41,8.62,6.93,97.68,3.78
GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,7.27,11.25,5.66,94.1,3.77
MÁSTER UNIVERSITARIO EN ARTES VISUALES Y MULTIMEDIA,8.08,9.54,4.47,86.88,3.76
MÁSTER UNIVERSITARIO EN MECÁNICA DE FLUIDOS COMPUTACIONAL,6.82,8.18,6.24,94.83,3.76
MÁSTER UNIVERSITARIO EN AUTOMÁTICA E INFORMÁTICA INDUSTRIAL,6.75,13.04,6.39,98.92,3.76
MÁSTER UNIVERSITARIO EN CONSERVACIÓN DEL PATRIMONIO ARQUITECTÓNICO,7.47,12.19,5.36,85.85,3.75
MÁSTER UNIVERSITARIO EN ARQUITECTURA,7.2,3.98,5.52,97.48,3.75
GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,7.36,9.07,5.4,93.69,3.75
MÁSTER UNIVERSITARIO EN INGENIERÍA AERONÁUTICA,6.76,4.88,6.21,95.36,3.75
MÁSTER UNIVERSITARIO EN PREVENCIÓN DE RIESGOS LABORALES,6.5,20.24,6.76,100.0,3.74
MÁSTER UNIVERSITARIO EN ARQUITECTURA DEL PAISAJE,8.27,9.53,3.97,97.46,3.74
MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA VEGETAL,7.23,8.9,5.44,91.97,3.71
"MÁSTER UNIVERSITARIO EN INGENIERÍA DE CAMINOS, CANALES Y PUERTOS",6.67,9.83,6.24,93.96,3.71
MÁSTER UNIVERSITARIO EN EVALUACIÓN Y SEGUIMIENTO AMBIENTAL DE ECOSISTEMAS MARINOS Y COSTEROS,8.38,13.58,3.63,100.0,3.7
MÁSTER UNIVERSITARIO EN GESTIÓN ADMINISTRATIVA,7.64,22.1,4.96,91.83,3.7
MÁSTER UNIVERSITARIO EN INGENIERÍA ESTRUCTURAL Y GEOTÉCNICA,7.02,13.73,5.69,99.28,3.7
"MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN ONDAS, ACÚSTICA, VIBRACIONES, INGENIERÍA Y SONIDO / ERASMUS MUNDUS MASTER IN WAVES, ACOUSTICS, VIBRATIONS, ENGINEERING AND SOUND (WAVES)",7.66,6.76,4.75,85.02,3.7
GRADO EN BIOTECNOLOGÍA,7.18,9.35,5.43,96.15,3.7
GRADO EN DISEÑO ARQUITECTÓNICO DE INTERIORES,7.48,14.97,5.05,91.82,3.69
MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN CIENCIA EN INGENIERÍA TEXTIL / ERASMUS MUNDUS MASTER OF SCIENCE IN TEXTILE ENGINEERING,6.82,50.0,6.25,93.17,3.63
MÁSTER UNIVERSITARIO EN INGENIERÍA ACÚSTICA,7.37,19.68,5.01,75.0,3.6
MÁSTER UNIVERSITARIO EN INGENIERÍA BIOMÉDICA,6.38,8.53,6.0,100.0,3.59
MÁSTER UNIVERSITARIO EN INGENIERÍA AMBIENTAL,7.42,15.8,4.59,92.86,3.58
GRADO EN COMUNICACIÓN AUDIOVISUAL,7.54,5.79,4.33,75.03,3.56
MÁSTER UNIVERSITARIO EN SEGURIDAD INDUSTRIAL Y MEDIO AMBIENTE,8.24,11.41,3.25,75.0,3.54
MÁSTER UNIVERSITARIO EN INGENIERÍA EN MOVILIDAD ELÉCTRICA,6.14,7.03,6.16,95.04,3.54
GRADO EN BELLAS ARTES,7.75,9.11,3.86,77.82,3.53
GRADO EN TECNOLOGÍAS INTERACTIVAS,7.26,29.82,4.79,85.11,3.52
GRADO EN TURISMO,7.11,25.47,4.7,80.68,3.46
GRADO EN CIENCIAS AMBIENTALES,6.65,14.81,5.04,90.89,3.44
MÁSTER UNIVERSITARIO EN INGENIERÍA DE MONTES,6.33,5.5,5.25,95.0,3.42
MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA BIOMÉDICA,6.88,3.08,4.39,91.15,3.42
"MÁSTER UNIVERSITARIO EN ARQUITECTURA AVANZADA, PAISAJE, URBANISMO Y DISEÑO",7.4,13.74,3.72,92.86,3.41
MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA MOLECULAR Y CELULAR DE PLANTAS,7.06,4.36,4.1,90.28,3.41
MÁSTER UNIVERSITARIO EN PRODUCCIÓN ARTÍSTICA,7.32,9.9,3.81,82.59,3.39
MÁSTER UNIVERSITARIO EN POSTPRODUCCIÓN DIGITAL,7.15,13.3,3.99,76.11,3.36
MÁSTER UNIVERSITARIO EN ACUICULTURA,7.54,17.14,3.23,81.25,3.32
GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL,6.64,40.51,4.8,89.66,3.31
GRADO EN DISEÑO Y TECNOLOGÍAS CREATIVAS,6.89,4.0,3.83,78.89,3.28
GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,7.56,12.65,2.61,71.6,3.2
MÁSTER UNIVERSITARIO EN ENOLOGÍA,7.12,18.48,3.39,65.18,3.19
MÁSTER UNIVERSITARIO EN GESTIÓN CULTURAL,6.96,7.78,3.18,78.12,3.16
MÁSTER UNIVERSITARIO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,6.74,5.16,2.34,77.18,2.93
